Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&ct=slh&v=t1&im=M&m=VH&aqid=_mrWadSuAZPUjMwPjfejiQo&pv=0.7948651254770882&me=1:1775659953194,V,0,0,1280,648:0,B,2121:0,N,1,_WrWaemHN4mgnesP7L7j4Q4:0,R,1,9,90,36,92,34:0,R,1,CBsQAA,0,84,1280,54:0,R,1,CBsQAQ,90,90,861,48:0,R,1,CBsQAg,94,90,606,48:0,R,1,CBsQAw,78,90,72,48:0,R,1,CBwQAA,150,90,86,48:0,R,1,CBwQAQ,150,90,86,48:0,R,1,CCEQAA,235,90,46,48:0,R,1,CCEQAQ,235,90,46,48:0,R,1,CCAQAA,281,90,62,48:0,R,1,CCAQAQ,281,90,62,48:0,R,1,CB4QAA,343,90,63,48:0,R,1,CB4QAQ,343,90,63,48:0,R,1,CB8QAA,406,90,95,48:0,R,1,CB8QAQ,406,90,95,48:0,R,1,CB0QAA,500,90,54,48:0,R,1,CB0QAQ,500,90,54,48:0,R,1,CAsQBg,90,168,652,1413:0,R,1,CAwQAA,90,168,652,525:0,R,1,CA8QAA,90,168,652,118:563,x:169,h,1,CA8QAA,i:1,h,1,CAwQAA,i:0,h,1,CAsQBg,i:14,h,1,CA8QAA,o:33,h,1,CAwQAA,o:1,h,1,CAsQBg,o:4663,e,B&zx=1775659958641&opi=89978449-525",50,142,141,163,171,192,98,192,98.000%,.51189,0.54,0.67
/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&pcon=0&dt19=3&prm23=0&zx=1775659961061&opi=89978449-526,50,146,147,161,167,259,97,259,96.000%,.51186,0.54,0.29
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&scrsrc=www.applegadgetsbd.com&lps=1&rnd=1998835976.1775659789&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938468~116991817~117884344~118131809&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659952502&tfd=175735-527,50,112,103,135,139,164,92,164,68.000%,.51211,0.28,0.56
"/xjs/_/js/k=xjs.s.bn.bFcNBaPkbz4.2019.O/ck=xjs.s._w__bMF_k2A.L.F4.O/am=AAACAAAIAgAAAAAAAAAAAIAAAIQAAAAAAAAAAAAACAAAAIAEAAEAAAEAAAAAAAAIAAAAAAAAAAAAAACAAAAAgCAAAgBQAgACEIAAAAAAIAAAAAAAAACg0AcQAKABAAAAAADwAGAAQgQAAAAAAAAAIBAgAAAAQAIAAAAAAAAIAAAAACBAAAAABAAAAAADAAEAAAFEggAAAFAAAAAgAAAAAAIAAAAAAAAAAAAQRAAAAEACCQAA_m3fgAcAAgAAAAAAAAAAAQAAAAAAAQCAAUkaAAAAAAAAAGHAAgAAAITCAAAgACAIgAAAAAAAABAgAQIACBgAAgAAEAAAAAAAAAAAAAEAggACASAAKAABAQAAAuAAAAAAAAAAAAAIAAAAAAAAAAEEABAQgBBAAAAAAAAgAAAUIAAAAEAOAAAAAAAAAiIAAAAAADCCDABAogAAIgAEBADAAAAglAEAABQESOAHAEAAAAAAAAAAnAAAAEAIBAAAABAAX0QYAQBAAAAAAADkAPB4AIcICgAAAAAAAAAAAAAAAAAAAAAAAAABWADjQPIDAiAAAAAAAAAAAAAAAAAAAAAAAAAAAABAiqAJAAAAAADAlgCA/d=0/dg=0/br=1/ujg=1/rs=ACT90oG-Jzcm7wsfM4cseHHwHSOWUOcFvg/cb=loaded_h_0/m=sy1qo,SMquOb,sy1qv,sy1qr,sy1qu,d5EhJe,sy1rj,sy34o,sy34n,sy34m,sy34l,sy2mb,sy1r5,sy34k,sy34j,sy34i,sy1r1,sy1r6,sy19l,sy1a0,sy1a2,sy1a1,sy19z,T1HOxc,LFk59d,sy1r3,sy1r2,sy1qz,sy1r0,sy1qx,zx30Y,sy34t,sy34s,sy34r,sy34d,Wo3n8,sy9rb,sy8an,sy835,sy821,sy80m,sy80j,sy7zf,sy7yn,sy7kr,sy7cg,sy79w,sy73n,sy73b,sy73a,sy739,sy71s,sy71p,sy71o,sy71g,sy71d,sy6zv,sy6w1,sy6uo,sy6um,sy6uc,sy6lk,sy60z,sy60u,sy4wf,sy4r1,sy4dw,sy4dh,sy4av,sy4aq,sy3fy,sy3th,sy3sp,sy11r,sy11q,mGCtob,sy3tm,sy9ow,QtOnSd,kNibNd,sy4yp,sy3rz,phtgnf,hvtMT,sy5u6,sy3td,yMpBcb,u09RR,HTSAKd,sy3t7,y9WHyc,UX692c,wV5Pjc,ZNKFGf,sy2pp,g9xvRd,sy3tf,sy3te,sy3tl,sy3tg,sy5lp,sy4y0,sy3tk,sy3tc,sy3ta,PJdUfd,sy3rp,sy13r,sy13s,sy3t9,sy3t5,sy3t3,sy3su,sy3ss,sy3c1,sy10t,Sp69O,sy8sl,sy8sf,sy8sd,syk9,sy8sk,sy8ss,sy6zc,sy8sr,sy8se,sy8sm,sy6zm,KHourd,sy714,T5VV,sy5uz,aDVF7,sy71x,rhYw1b,IhkWbc,sy10r,sy8wf,sy8we,sy8w7,sy88d,oPmHrb,sy70u,FzTajd,sy88c,LnZNCd,sy650,sy31w,sy12a,oQfbDd,sy3fk,syii,sy4rg,sy199,sy433,sy434,sy8w8,sy6bp,qmjr3,sy8w5,sy66i,IQw9J,sy64u,sy35u,sy35x,sy35v,sy4he,sy1z1,sy4h9,sy4hc,sy1z2,sy4ha,sy35w,sy4hb,sy4h6,sy4h5,sy4h7,syyl,sy4h8,sy128,sy12e,sy3sb,sy12f,sy12h,sy12k,sy12l,sy12m,sy12n,sy12c,sy12d,sy12g,sy3s8,sy1sd,sy1m1,sy4h3,ily0Be,M6QgBb,ma4xG,E9M6Uc,sy4y3-528",50,258,250,313,318,369,197,369,100.000%,.51108,58.48,1.17
"/xjs/_/js/k=xjs.s.bn.bFcNBaPkbz4.2019.O/ck=xjs.s._w__bMF_k2A.L.F4.O/am=AAACAAAIAgAAAAAAAAAAAIAAAIQAAAAAAAAAAAAACAAAAIAEAAEAAAEAAAAAAAAIAAAAAAAAAAAAAACAAAAAgCAAAgBQAgACEIAAAAAAIAAAAAAAAACg0AcQAKABAAAAAADwAGAAQgQAAAAAAAAAIBAgAAAAQAIAAAAAAAAIAAAAACBAAAAABAAAAAADAAEAAAFEggAAAFAAAAAgAAAAAAIAAAAAAAAAAAAQRAAAAEACCQAA_m3fgAcAAgAAAAAAAAAAAQAAAAAAAQCAAUkaAAAAAAAAAGHAAgAAAITCAAAgACAIgAAAAAAAABAgAQIACBgAAgAAEAAAAAAAAAAAAAEAggACASAAKAABAQAAAuAAAAAAAAAAAAAIAAAAAAAAAAEEABAQgBBAAAAAAAAgAAAUIAAAAEAOAAAAAAAAAiIAAAAAADCCDABAogAAIgAEBADAAAAglAEAABQESOAHAEAAAAAAAAAAnAAAAEAIBAAAABAAX0QYAQBAAAAAAADkAPB4AIcICgAAAAAAAAAAAAAAAAAAAAAAAAABWADjQPIDAiAAAAAAAAAAAAAAAAAAAAAAAAAAAABAiqAJAAAAAADAlgCA/d=0/dg=0/br=1/ujg=1/rs=ACT90oG-Jzcm7wsfM4cseHHwHSOWUOcFvg/cb=loaded_h_0/m=sy43q,sy125,syhc,syhe,syh6,syhb,syh1,sy120,sy121,sy4y2,sy4y1,sy4xs,sy11z,sy43s,EO13pd,sy73d,qCgt4c,sy5tj,I9y8sd,xBbsrc,sy4qz,sy14q,DLOxie-530",50,83,73,119,127,168,59,168,18.000%,.51188,5.44,0.63
/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&vet=12ahUKEwip-sKQwN6TAxUJUGcHHWzfOOwQuqMJegQIFxAA..s&bl=bVwX&s=web&lpl=CAUYADANOANiCAgIEICL8dsD&zx=1775659962114&opi=89978449-531,50,152,140,174,187,608,94,608,94.000%,.51148,0.54,0.33
/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&errsrp-init=init&zx=1775659962101&opi=89978449-529,50,141,141,159,161,180,98,180,98.000%,.51151,0.54,0.29
/gen_204-532,50,143,142,166,169,209,95,209,98.000%,.51152,0.54,0.27
/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.applegadgetsbd.com/&ved=2ahUKEwip-sKQwN6TAxUJUGcHHWzfOOwQFnoECA4QAQ&usg=AOvVaw2B0RCTL1O9fIFGsmDg15Bs-533,50,130,129,143,150,178,111,178,100.000%,.51151,0.74,0.31
"/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&ct=slh&v=t1&im=M&aqid=_mrWadSuAZPUjMwPjfejiQo&pv=0.7948651254770882&me=32:1775659958643,V,0,0,0,0:3795,V,0,0,1280,648:1605,h,1,CAwQAA,i:0,h,1,CAsQBg,i:32,h,1,CA8QAA,i:33,h,1,CA8QAA,o:0,h,1,CAwQAA,o:1,h,1,CAsQBg,o:366,h,1,CA8QAA,i:0,h,1,CAwQAA,i:0,h,1,CAsQBg,i:878,G,1,CA8QAA,286,58,1:0,c,376,226:0,G,1,CA8QAA,286,58:0,G,1,CAwQAA,286,58:0,G,1,CAsQBg,286,58:10,e,C&zx=1775659965363&opi=89978449-535",50,141,140,156,165,197,89,197,92.000%,.51141,0.54,0.46
/-534,50,975,363,907,2059,19440,300,19440,100.000%,.51046,75.21,0.25
"/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&ct=fa&vt=paq:[0,0,null,null,0,null,null,[1,null,null,%22_mrWadSuAZPUjMwPjfejiQo%22,1775659965752,1775659965353],0,0]&pvt=8761&s=0&pv=99536&authuser=0&zx=1775659965754&opi=89978449-537",50,139,141,156,158,210,95,210,94.000%,.51156,0.54,0.36
"/gen_204?atyp=i&bb=1&ei=_WrWaemHN4mgnesP7L7j4Q4&ct=slh&v=t1&im=M&aqid=_mrWadSuAZPUjMwPjfejiQo&pv=0.7948651254770882&me=49:1775659965739,e,H&zx=1775659965743&opi=89978449-536",50,154,142,161,168,608,94,608,88.000%,.51152,0.54,0.33
/_next/image-538,50,388,159,313,1483,5247,105,5247,100.000%,.51126,74.22,0.30
/_next/image-542,50,184,80,212,441,2108,58,2108,26.000%,.51153,1.18,0.30
/_next/image-541,50,205,84,204,581,3208,66,3208,28.000%,.51150,12.99,0.29
/_next/image-539,50,380,139,230,1553,5443,98,5443,96.000%,.51121,83.30,0.30
/_next/image-543,50,173,80,212,555,1720,58,1720,30.000%,.51142,1.17,0.30
/_next/image-540,50,218,88,210,581,2294,67,2294,32.000%,.51127,19.64,0.29
/_next/image-544,50,117,78,130,417,796,59,796,20.000%,.51129,2.89,0.28
/_next/image-545,50,145,72,119,388,1682,57,1682,22.000%,.51129,1.10,0.30
/cdn-cgi/rum?-549,50,107,62,112,227,1288,52,1288,16.000%,.51131,0.36,0.57
/_next/image-548,50,151,73,130,424,1315,60,1315,20.000%,.51128,0.80,0.29
/_next/image-546,50,142,71,125,449,1252,56,1252,20.000%,.51098,1.26,0.29
/pagead/set_partitioned_cookie-550,50,103,102,113,122,137,87,137,54.000%,.51069,0.21,0.48
/api/auth/session-555,50,129,68,134,472,1245,58,1245,16.000%,.51076,0.58,0.22
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&auid=1684116898.1775659789&navt=n&npa=0&ep.ads_data_redaction=0&gdid=dY2E1Nz.dNzQzZD&gtm=45E92e6461v9245622653za204zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117384406&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=1&tft=1775659966402&tfd=1037-553,50,103,98,113,130,145,91,145,42.000%,.51059,0.28,0.54
/_next/image-556,50,110,68,138,454,540,58,540,20.000%,.51046,1.14,0.29
/_next/image-557,50,314,94,149,807,8640,56,8640,40.000%,.51045,1.34,0.29
/metrics/wkFWurjrgHSexwogK7mVp2EQonS4kRlxxECYkVyPiWBLJL9U-554,50,358,136,247,1540,4519,100,4519,98.000%,.50995,76.22,0.21
/-551,50,1530,538,2976,5690,15733,459,15733,100.000%,.48250,0.45,0.51
/metrics/wkFWurjrhg7hqG8nKd7kwQMQonS4kRlxxECYkVyPiWBLJL9U-552,50,432,151,254,1385,6223,91,6223,98.000%,.48455,86.72,0.20
/_next/image-558,50,154,87,166,408,1479,58,1479,32.000%,.48459,1.31,0.28
/_next/image-560,50,120,78,190,412,719,57,719,26.000%,.48456,0.67,0.28
/_next/image-559,50,162,73,286,424,2199,58,2199,28.000%,.48440,1.20,0.29
/_next/image-561,50,109,70,174,436,506,58,506,20.000%,.48434,0.65,0.27
/_next/image-564,50,189,76,119,413,2405,58,2405,16.000%,.48443,1.50,0.29
/_next/image-565,50,141,81,174,386,1236,58,1236,22.000%,.48445,0.95,0.27
/rmkt/collect/677475025/?random=1775659966912&cv=11&fst=1775659966912&fmt=8&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&did=dY2E1Nz&gdid=dY2E1Nz&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&data=event%3Dgtag.config&gap.gtb=3&gap.gtbd=21&gcp=5-562,50,134,102,154,232,582,93,582,54.000%,.48427,0.28,0.54
/ccm/collect?frm=0&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659966926&tfd=1563-563,50,102,100,114,120,130,92,130,46.000%,.48428,0.27,0.52
/_next/image-566,50,158,72,127,461,2149,57,2149,20.000%,.48444,0.94,0.29
/_next/image-567,50,132,75,135,382,1322,58,1322,24.000%,.48447,0.56,0.27
/_next/image-569,50,163,76,123,659,1903,60,1903,22.000%,.48475,4.67,0.28
/_next/image-571,50,166,71,158,862,1395,61,1395,20.000%,.48480,3.38,0.27
/_next/image-572,50,181,73,140,934,2104,59,2104,22.000%,.48481,5.79,0.27
/_next/image-547,50,132,74,134,406,1227,57,1227,26.000%,.48491,0.86,0.27
/_next/image-568,50,217,83,141,643,3416,60,3416,32.000%,.48509,5.82,0.28
/_next/image-570,50,157,82,135,616,1586,59,1586,30.000%,.48501,3.13,0.27
/_next/image-574,50,154,75,144,471,1410,57,1410,30.000%,.48514,1.99,0.27
/metrics/g/measurement/conversion?random=1775659967023&cv=11&tid=G-RYR06PDVP5&fst=1775659967023&fmt=8&en=page_view&gtm=45g92e6461v892913252z89245622653za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&gacid=1211979162.1775659790&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&gdid=dY2E1Nz&npa=0&pscdl=noapi&auid=1684116898.1775659789-575,50,330,225,491,634,1671,183,1671,100.000%,.48454,2.18,1.35
/_next/image-577,50,201,79,128,1113,2505,61,2505,22.000%,.48521,4.99,0.28
/_next/image-578,50,190,86,147,945,1912,60,1912,30.000%,.48509,4.93,0.28
/_next/image-581,50,175,85,168,782,1673,59,1673,32.000%,.48532,5.57,0.29
/measurement/1p-conversion/-580,50,166,120,303,309,597,103,597,100.000%,.48531,0.28,0.80
/_next/image-582,50,142,77,139,525,1094,58,1094,26.000%,.48578,3.38,0.28
/metrics/td-573,50,131,81,168,389,937,62,937,32.000%,.48581,0.37,0.36
/_next/image-583,50,147,73,239,446,1776,58,1776,18.000%,.48594,1.23,0.30
/_next/image-584,50,173,71,163,450,2888,59,2888,20.000%,.48595,1.15,0.31
/metrics/ag/g/c?v=2&tid=G-RYR06PDVP5&gtm=45g92e6461v892913252z89245622653za20kzb9245622653zd9245622653&_p=1775659966335&gcd=13l3l3l3l1l1&npa=0&dma=0&gdid=dY2E1Nz&ecid=1478158322&_eu=AAAAAGQ&_prs=ok&_uip=%3A%3A&cid=1211979162.1775659790&ec_mode=a&fp=1&frm=0&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&ur=BD-C&_gsid=abYe5mymzGIvZ3PqIdHQSAKcuSIKPoYVlg&_s=1&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&sid=1775659790&sct=1&seg=1&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&dr=https%3A%2F%2Fwww.google.com%2F&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&en=page_view&_c=1&gap.gtb=3&gap.gtbd=21&tfd=1674-585,50,133,75,137,412,1247,63,1247,20.000%,.48597,0.42,0.57
/pagead/viewthroughconversion/677475025/-586,50,231,217,294,304,461,186,461,100.000%,.48537,1.39,0.48
/_next/image-576,50,160,78,170,928,1099,57,1099,30.000%,.48660,5.15,0.28
/_next/image-579,50,210,71,218,422,4540,58,4540,30.000%,.48661,2.81,0.28
/category/starlink-587,50,199,88,211,818,1514,64,1514,40.000%,.48660,5.04,0.29
/pagead/1p-user-list/677475025/-588,50,120,107,135,142,458,93,458,82.000%,.48642,0.30,0.66
/pagead/1p-user-list/677475025/-589,50,229,207,282,301,799,175,799,100.000%,.48600,0.30,0.66
/_next/image-599,50,193,81,122,1313,1772,61,1772,16.000%,.48624,2.72,0.30
/_next/image-596,50,170,77,138,499,2148,57,2148,18.000%,.48624,1.72,0.29
/_next/image-598,50,1252,81,205,703,36252,60,36252,36.000%,.40800,2.57,0.25
/_next/image-594,50,112,74,123,189,868,57,868,22.000%,.40670,1.68,0.25
/rmkt/collect/677475025/?random=1775659969974&cv=11&fst=1775659969974&fmt=8&bg=ffffff&guid=ON&async=1&en=view_item_list&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Starlink%20Price%20in%20Bangladesh%202026&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dview_item_list%3Bgoogle_business_vertical%3Dretail%3Bid%3D11027%2C12000%2C12001%2C12003%2C12004%2C12002%2C11535&gap.gtb=3&gap.gtbd=21&gcp=5-592,50,112,101,137,148,279,90,279,52.000%,.40615,0.24,0.49
/ccm/collect?frm=0&ae=g&en=view_item_list&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Starlink%20Price%20in%20Bangladesh%202026&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659969996&tfd=4633-593,50,115,101,141,149,597,88,597,56.000%,.40609,0.22,0.44
/_next/image-595,50,345,122,254,407,8535,77,8535,62.000%,.40009,33.61,0.24
/tr/-600,50,223,194,278,289,875,145,875,100.000%,.39986,0.20,2.14
/tr/-590,50,65,56,85,110,207,44,207,10.000%,.40055,0.18,0.55
/_next/image-601,50,118,67,136,232,1468,57,1468,20.000%,.39926,1.33,0.25
/-591,50,604,390,957,1485,3414,341,3414,100.000%,.39789,0.38,0.74
/_next/image-597,50,150,76,136,200,1873,62,1873,24.000%,.39315,2.39,0.24
/tr/-604,50,63,54,86,125,173,43,173,8.000%,.39318,0.18,0.72
